"name","year","city","country","continent","latitude","longitude","cuisine","price"
"Aster",2019,"San Francisco","USA","North America",37.755054,-122.423134,"Californian","3"
"Omakase",2019,"San Francisco","USA","North America",37.77077,-122.40298,"Japanese","4"
"Commonwealth",2019,"San Francisco","USA","North America",37.761395,-122.41946,"Contemporary","2"
"Luce",2019,"San Francisco","USA","North America",37.78194,-122.40498,"Contemporary","3"
"Birdsong",2019,"San Francisco","USA","North America",37.779495,-122.41048,"American","4"
"In Situ",2019,"San Francisco","USA","North America",37.785633,-122.40113,"International","4"
"Mourad",2019,"San Francisco","USA","North America",37.78695,-122.39987,"Moroccan","3"
"Hashiri",2019,"San Francisco","USA","North America",37.783062,-122.40754,"Japanese","4"
"Angler",2019,"San Francisco","USA","North America",37.793167,-122.39213,"Contemporary","4"
"Rich Table",2019,"San Francisco","USA","North America",37.774914,-122.42271,"Contemporary","3"
"Kin Khao",2019,"San Francisco","USA","North America",37.785267,-122.40951,"Thai","2"
"Michael Mina",2019,"San Francisco","USA","North America",37.79349,-122.399574,"Contemporary","4"
"Sons & Daughters",2019,"San Francisco","USA","North America",37.79037,-122.40917,"Contemporary","4"
"Mister Jiu's",2019,"San Francisco","USA","North America",37.79371,-122.406654,"Chinese","3"
"Nico",2019,"San Francisco","USA","North America",37.795803,-122.40333,"Contemporary","3"
"jū-ni",2019,"San Francisco","USA","North America",37.77672,-122.43886,"Japanese","4"
"Keiko à Nob Hill",2019,"San Francisco","USA","North America",37.793106,-122.41445,"Fusion","4"
"The Progress",2019,"San Francisco","USA","North America",37.78371,-122.43282,"Californian","3"
"State Bird Provisions",2019,"San Francisco","USA","North America",37.783737,-122.43283,"American","2"
"Octavia",2019,"San Francisco","USA","North America",37.787857,-122.42709,"Californian","3"
"SPQR",2019,"San Francisco","USA","North America",37.78732,-122.43375,"Italian","3"
"Lord Stanley",2019,"San Francisco","USA","North America",37.79592,-122.42208,"Californian","3"
"Kinjo",2019,"San Francisco","USA","North America",37.79699,-122.422005,"Japanese","4"
"Sorrel",2019,"San Francisco","USA","North America",37.788334,-122.44614,"Californian","3"
"Gary Danko",2019,"San Francisco","USA","North America",37.80599,-122.42066,"Contemporary","4"
"Bar Crenn",2019,"San Francisco","USA","North America",37.798435,-122.43581,"French","3"
"Spruce",2019,"San Francisco","USA","North America",37.78772,-122.45264,"Californian","3"
"Wako",2019,"San Francisco","USA","North America",37.783035,-122.461525,"Japanese","4"
"Madcap",2019,"San Francisco","USA","North America",37.974712,-122.56168,"Contemporary","4"
"Aubergine",2019,"Monterey","USA","North America",36.55406,-121.924355,"Contemporary","4"
"Kenzo",2019,"San Francisco","USA","North America",38.29924,-122.28928,"Japanese","4"
"La Toque",2019,"San Francisco","USA","North America",38.30351,-122.28349,"Contemporary","4"
"Bouchon",2019,"San Francisco","USA","North America",38.40258,-122.3619,"French","3"
"Auberge du Soleil",2019,"San Francisco","USA","North America",38.49199,-122.40534,"Californian","4"
"Farmhouse Inn & Restaurant",2019,"San Francisco","USA","North America",38.49039,-122.8835,"Californian","4"
"The Kitchen",2019,"Sacramento","USA","North America",38.58894,-121.41424,"Contemporary","4"
"Madrona Manor",2019,"San Francisco","USA","North America",38.60428,-122.88647,"Contemporary","4"
"Harbor House",2019,"San Francisco","USA","North America",39.135876,-123.719444,"Californian","4"
"Shin Sushi",2019,"Los Angeles","USA","North America",34.15784,-118.49415,"Japanese","3"
"Rustic Canyon",2019,"Los Angeles","USA","North America",34.024952,-118.49118,"Californian","3"
"Dialogue",2019,"Los Angeles","USA","North America",34.01679,-118.49748,"Contemporary","4"
"Kato",2019,"Los Angeles","USA","North America",34.041683,-118.460915,"Asian","3"
"CUT",2019,"Los Angeles","USA","North America",34.067036,-118.401024,"Steakhouse","4"
"Nozawa Bar",2019,"Los Angeles","USA","North America",34.0683,-118.39849,"Japanese","4"
"Shunji",2019,"Los Angeles","USA","North America",34.028496,-118.45195,"Japanese","4"
"Maude",2019,"Los Angeles","USA","North America",34.064346,-118.39904,"Contemporary","4"
"Mori Sushi",2019,"Los Angeles","USA","North America",34.033398,-118.44229,"Japanese","4"
"Trois Mec",2019,"Los Angeles","USA","North America",34.084255,-118.33851,"Contemporary","4"
"Osteria Mozza",2019,"Los Angeles","USA","North America",34.08342,-118.338974,"Italian","3"
"Kali",2019,"Los Angeles","USA","North America",34.083443,-118.32455,"Californian","3"
"Le Comptoir",2019,"Los Angeles","USA","North America",34.06354,-118.30057,"Californian","4"
"Q Sushi",2019,"Los Angeles","USA","North America",34.046883,-118.255844,"Japanese","4"
"Shibumi",2019,"Los Angeles","USA","North America",34.044155,-118.256134,"Japanese","4"
"Hayato",2019,"Los Angeles","USA","North America",34.03311,-118.24265,"Japanese","4"
"Bistro Na's",2019,"Los Angeles","USA","North America",34.104412,-118.07159,"Chinese","2"
"Orsa & Winston",2019,"Los Angeles","USA","North America",33.92145,-118.275406,"Fusion","4"
"Taco María",2019,"Costa Mesa","USA","North America",33.69475,-117.924965,"Mexican","3"
"Hana re",2019,"Costa Mesa","USA","North America",33.67759,-117.886566,"Japanese","4"
"Addison",2019,"San Diego","USA","North America",32.939903,-117.20013,"Contemporary","4"
"Parachute",2019,"Chicago","USA","North America",41.94483,-87.70638,"Fusion","2"
"Goosefoot",2019,"Chicago","USA","North America",41.96856,-87.69596,"Contemporary","4"
"Elizabeth",2019,"Chicago","USA","North America",41.969555,-87.688736,"Contemporary","4"
"EL Ideas",2019,"Chicago","USA","North America",41.863,-87.68686,"Contemporary","4"
"Band of Bohemia",2019,"Chicago","USA","North America",41.967308,-87.67477,"Gastropub","3"
"Schwa",2019,"Chicago","USA","North America",41.90888,-87.66792,"Contemporary","4"
"Temporis",2019,"Chicago","USA","North America",41.898907,-87.66725,"Contemporary","4"
"Entente",2019,"Chicago","USA","North America",41.93721,-87.6652,"Contemporary","3"
"Elske",2019,"Chicago","USA","North America",41.884426,-87.66071,"Contemporary","4"
"Dusek's (Board & Beer)",2019,"Chicago","USA","North America",41.857853,-87.65757,"Gastropub","2"
"Roister",2019,"Chicago","USA","North America",41.886658,-87.65187,"Contemporary","3"
"Boka",2019,"Chicago","USA","North America",41.91363,-87.64806,"Contemporary","3"
"Blackbird",2019,"Chicago","USA","North America",41.88423,-87.64356,"Contemporary","3"
"Sepia",2019,"Chicago","USA","North America",41.88394,-87.64247,"American","3"
"North Pond",2019,"Chicago","USA","North America",41.9296,-87.63762,"Contemporary","3"
"Everest",2019,"Chicago","USA","North America",41.87597,-87.63212,"French","4"
"Topolobampo",2019,"Chicago","USA","North America",41.89047,-87.63085,"Mexican","4"
"Spiaggia",2019,"Chicago","USA","North America",41.90062,-87.62457,"Italian","4"
"Monte",2019,"Rovinj","Croatia","Europe",45.08279,13.631168,"Creative","5"
"Draga di Lovrana",2019,"Lovran","Croatia","Europe",45.275867,14.251401,"Modern cuisine","5"
"Noel",2019,"Zagreb","Croatia","Europe",45.811054,15.988205,"Modern cuisine","5"
"Pelegrini",2019,"Šibenik","Croatia","Europe",43.73603,15.888903,"Modern cuisine","5"
"360º",2019,"Dubrovnik","Croatia","Europe",42.641563,18.111523,"Modern cuisine","5"
"Field",2019,"Praha","Czech Republic","Europe",50.0919,14.42193,"Modern cuisine","5"
"La Degustation Bohême Bourgeoise",2019,"Praha","Czech Republic","Europe",50.09115,14.42511,"Modern cuisine","5"
"Gastromé",2019,"Aarhus","Denmark","Europe",56.15788,10.20937,"Modern cuisine","3"
"Domestic",2019,"Aarhus","Denmark","Europe",56.15893,10.212132,"Modern cuisine","3"
"Substans",2019,"Aarhus","Denmark","Europe",56.15415,10.20372,"Modern cuisine","3"
"Frederikshøj",2019,"Aarhus","Denmark","Europe",56.12497,10.208638,"Creative","4"
"Me‚Mu",2019,"Vejle","Denmark","Europe",55.70901,9.53302,"Modern cuisine","3"
"Ti Trin Ned",2019,"Fredericia","Denmark","Europe",55.56659,9.752689,"Modern cuisine","3"
"Slotskøkkenet",2019,"Hørve","Denmark","Europe",55.771236,11.390805,"Creative","4"
"Søllerød Kro",2019,"København","Denmark","Europe",55.81325,12.49548,"Modern cuisine","2"
"Jordnær",2019,"København","Denmark","Europe",55.748226,12.541014,"Danish","3"
"Relæ",2019,"København","Denmark","Europe",55.693233,12.543222,"Modern cuisine","2"
"Kiin Kiin",2019,"København","Denmark","Europe",55.69188,12.55754,"Thai","2"
"formel B",2019,"København","Denmark","Europe",55.67031,12.53798,"Modern cuisine","2"
"Kokkeriet",2019,"København","Denmark","Europe",55.68768,12.58492,"Modern cuisine","3"
"Clou",2019,"København","Denmark","Europe",55.68342,12.58497,"Modern cuisine","4"
"Marchal",2019,"København","Denmark","Europe",55.68034,12.58508,"Modern cuisine","2"
"Kong Hans Kælder",2019,"København","Denmark","Europe",55.6787,12.584003,"Classic French","4"
"Stud!o at The Standard",2019,"København","Denmark","Europe",55.67799,12.59191,"Creative","3"
"108",2019,"København","Denmark","Europe",55.67785,12.5980835,"Modern cuisine","3"
"Era Ora",2019,"København","Denmark","Europe",55.673004,12.591292,"Italian","2"
"Alouette",2019,"København","Denmark","Europe",55.66265,12.57634,"Modern cuisine","3"
"Frederiksminde",2019,"Præstø","Denmark","Europe",55.12417,12.04623,"Creative","3"
"Kadeau Bornholm",2019,"Pedersker","Denmark","Europe",55.00457,14.969216,"Creative","4"
"Ask",2019,"Helsingfors / Helsinki","Finland","Europe",60.17236,24.95648,"Modern cuisine","3"
"Grön",2019,"Helsingfors / Helsinki","Finland","Europe",60.16446,24.93308,"Finnish","3"
"Demo",2019,"Helsingfors / Helsinki","Finland","Europe",60.164806,24.941635,"Modern cuisine","3"
"Olo",2019,"Helsingfors / Helsinki","Finland","Europe",60.16616,24.947704,"Modern cuisine","3"
"Palace",2019,"Helsingfors / Helsinki","Finland","Europe",60.16556,24.95256,"Modern cuisine","3"
"Ora",2019,"Helsingfors / Helsinki","Finland","Europe",60.157578,24.942947,"Modern cuisine","3"
"Botrini's",2019,"Athína","Greece","Europe",38.02318,23.79377,"Mediterranean","5"
"Varoulko Seaside",2019,"Athína","Greece","Europe",37.937378,23.658577,"Seafood","5"
"Hytra",2019,"Athína","Greece","Europe",37.95818,23.71895,"Modern cuisine","5"
"Loaf On",2019,"Hong Kong","China","Asia",22.379858,114.27188,"Cantonese","2"
"Lei Garden (Kwun Tong)",2019,"Hong Kong","China","Asia",22.312672,114.22482,"Cantonese","1"
"Tim Ho Wan (Sham Shui Po)",2019,"Hong Kong","China","Asia",22.32805,114.16665,"Dim Sum","1"
"Lei Garden (Mong Kok)",2019,"Hong Kong","China","Asia",22.320219,114.17133,"Cantonese","1"
"Ming Court",2019,"Hong Kong","China","Asia",22.318314,114.16933,"Cantonese","3"
"Yat Tung Heen (Jordan)",2019,"Hong Kong","China","Asia",22.308014,114.17147,"Cantonese","2"
"Fu Ho (Tsim Sha Tsui)",2019,"Hong Kong","China","Asia",22.3022,114.17194,"Cantonese","2"
"Shang Palace",2019,"Hong Kong","China","Asia",22.297325,114.177155,"Cantonese","3"
"IM Teppanyaki & Wine",2019,"Hong Kong","China","Asia",22.280807,114.19211,"Teppanyaki","2"
"Ah Yat Harbour View (Tsim Sha Tsui)",2019,"Hong Kong","China","Asia",22.296984,114.17197,"Cantonese","2"
"Rech",2019,"Hong Kong","China","Asia",22.293434,114.174034,"Seafood","4"
"Spring Moon",2019,"Hong Kong","China","Asia",22.294943,114.17182,"Cantonese","3"
"Imperial Treasure Fine Chinese Cuisine",2019,"Hong Kong","China","Asia",22.296177,114.170006,"Cantonese","2"
"Sushi Tokami",2019,"Hong Kong","China","Asia",22.296112,114.16916,"Sushi","5"
"Tosca",2019,"Hong Kong","China","Asia",22.30357,114.16007,"Italian","3"
"Épure",2019,NA,NA,NA,22.29583,114.169304,"French","3"
"Yee Tung Heen",2019,"Hong Kong","China","Asia",22.282295,114.184135,"Cantonese","2"
"Yè Shanghai (Tsim Sha Tsui)",2019,"Hong Kong","China","Asia",22.295143,114.168236,"Shanghainese","1"
"Ho Hung Kee",2019,"Hong Kong","China","Asia",22.280058,114.18364,"Noodles and congee","1"
"Jardin de Jade (Wan Chai)",2019,"Hong Kong","China","Asia",22.28025,114.17716,"Shanghainese","2"
"Zhejiang Heen",2019,"Hong Kong","China","Asia",22.2787,114.17763,"Shanghainese","2"
"Takumi by Daisuke Mori",2019,"Hong Kong","China","Asia",22.276512,114.17718,"Innovative","5"
"Kam's Roast Goose",2019,"Hong Kong","China","Asia",22.277693,114.175385,"Cantonese Roast Meats","1"
"Pang's Kitchen",2019,"Hong Kong","China","Asia",22.26921,114.18452,"Cantonese","1"
"Xin Rong Ji",2019,"Hong Kong","China","Asia",22.278013,114.17273,"Taizhou","3"
"Qi (Wan Chai)",2019,"Hong Kong","China","Asia",22.276443,114.17126,"Sichuan","1"
"Man Wah",2019,"Hong Kong","China","Asia",22.282213,114.15951,"Cantonese","4"
"Summer Palace",2019,"Hong Kong","China","Asia",22.277136,114.1643,"Cantonese","3"
"Octavium",2019,"Hong Kong","China","Asia",22.282587,114.1572,"Italian","3"
"Arbor",2019,NA,NA,NA,22.283146,114.15542,"Innovative","3"
"VEA",2019,"Hong Kong","China","Asia",22.284931,114.15313,"Innovative","5"
"Mandarin Grill + Bar",2019,"Hong Kong","China","Asia",22.281048,114.1574,"European contemporary","4"
"Yat Lok",2019,"Hong Kong","China","Asia",22.28226,114.155655,"Cantonese Roast Meats","1"
"Guo Fu Lou",2019,"Hong Kong","China","Asia",22.278313,114.16034,"Cantonese","3"
"Celebrity Cuisine",2019,"Hong Kong","China","Asia",22.284334,114.15312,"Cantonese","2"
"Sushi Wadatsumi",2019,"Hong Kong","China","Asia",22.281038,114.15646,"Sushi","3"
"Arcane",2019,"Hong Kong","China","Asia",22.280624,114.15682,"European contemporary","3"
"Duddell's",2019,"Hong Kong","China","Asia",22.28008,114.157364,"Cantonese","3"
"Beefbar",2019,"Hong Kong","China","Asia",22.27982,114.15752,"Steakhouse","2"
"New Punjab Club",2019,"Hong Kong","China","Asia",22.28005,114.15525,"Indian","2"
"Kaiseki Den by Saotome",2019,"Hong Kong","China","Asia",22.285713,114.147865,"Japanese","5"
"Belon",2019,"Hong Kong","China","Asia",22.281662,114.152405,"French","3"
"Tate",2019,"Hong Kong","China","Asia",22.280996,114.15276,"Innovative","5"
"The Ocean",2019,"Hong Kong","China","Asia",22.235146,114.198524,"French","5"
"Costes Downtown",2019,"Budapest","Hungary","Europe",47.50113,19.048595,"Modern cuisine","4"
"Borkonyha Winekitchen",2019,"Budapest","Hungary","Europe",47.49953,19.052391,"Modern cuisine","4"
"Stand",2019,"Budapest","Hungary","Europe",47.500244,19.059624,"Modern cuisine","3"
"Babel",2019,"Budapest","Hungary","Europe",47.492603,19.05256,"Modern cuisine","5"
"Costes",2019,"Budapest","Hungary","Europe",47.48873,19.061779,"Modern cuisine","5"
"The Kitchen",2019,"Macau","China","Asia",22.191442,113.543,"Steakhouse","3"
"Tim's Kitchen",2019,"Macau","China","Asia",22.189898,113.5439,"Cantonese","2"
"Wing Lei",2019,"Macau","China","Asia",22.188028,113.54578,"Cantonese","2"
"King",2019,"Macau","China","Asia",22.190178,113.54028,"Cantonese","1"
"Ying",2019,"Macau","China","Asia",22.161234,113.555405,"Cantonese","2"
"Shinji by Kanesaka",2019,"Macau","China","Asia",22.149635,113.56397,"Sushi","4"
"The Golden Peacock",2019,"Macau","China","Asia",22.148178,113.56335,"Indian","1"
"Zi Yat Heen",2019,"Macau","China","Asia",22.145418,113.56152,"Cantonese","2"
"8 1/2 Otto e Mezzo - Bombana",2019,"Macau","China","Asia",22.14918,113.55393,"Italian","3"
"Pearl Dragon",2019,"Macau","China","Asia",22.140524,113.56256,"Cantonese","3"
"Lai Heen",2019,"Macau","China","Asia",22.148754,113.551926,"Cantonese","2"
"FAGN",2019,"Trondheim","Norway","Europe",63.43392,10.39628,"Modern cuisine","4"
"Credo",2019,"Trondheim","Norway","Europe",63.43391,10.39631,"Creative","4"
"RE-NAA",2019,"Stavanger","Norway","Europe",58.972088,5.732877,"Creative","4"
"Sabi Omakase",2019,"Stavanger","Norway","Europe",58.969936,5.7433133,"Sushi","4"
"Galt",2019,"Oslo","Norway","Europe",59.91661,10.71369,"Modern cuisine","3"
"Kontrast",2019,"Oslo","Norway","Europe",59.92355,10.75106,"Scandinavian","3"
"Statholdergaarden",2019,"Oslo","Norway","Europe",59.90937,10.74305,"Classic cuisine","4"
"Del Posto",2019,"New York","USA","North America",40.74327,-74.0077,"Italian","4"
"Le Grill de Joël Robuchon",2019,"New York","USA","North America",40.742897,-74.0077,"French","4"
"L'Appart",2019,"New York","USA","North America",40.711903,-74.01544,"French","4"
"Okuda",2019,"New York","USA","North America",40.743793,-74.00633,"Japanese","4"
"Wallsé",2019,"New York","USA","North America",40.73538,-74.00814,"Austrian","4"
"Jeju Noodle Bar",2019,"New York","USA","North America",40.732952,-74.00744,"Korean","2"
"Sushi Nakazawa",2019,"New York","USA","North America",40.731716,-74.00451,"Japanese","4"
"Kosaka",2019,"New York","USA","North America",40.738316,-74.00137,"Japanese","4"
"Bâtard",2019,"New York","USA","North America",40.719616,-74.00589,"Contemporary","4"
"Hirohisa",2019,"New York","USA","North America",40.72452,-74.003006,"Japanese","3"
"Blue Hill",2019,"New York","USA","North America",40.7321,-73.9996,"American","4"
"ZZ's Clam Bar",2019,"New York","USA","North America",40.727646,-74.00046,"Seafood","4"
"Babbo",2019,"New York","USA","North America",40.73233,-73.99916,"Italian","4"
"Carbone",2019,"New York","USA","North America",40.727966,-74.00017,"Italian","4"
"Le Coucou",2019,"New York","USA","North America",40.719162,-74.00001,"French","3"
"Aldea",2019,"New York","USA","North America",40.73885,-73.99366,"Mediterranean","4"
"Cote",2019,"New York","USA","North America",40.73778,-73.99375,"Korean","3"
"Bouley at Home",2019,"New York","USA","North America",40.74114,-73.99242,"Contemporary","3"
"Gotham Bar and Grill",2019,"New York","USA","North America",40.73417,-73.99379,"American","4"
"Nix",2019,"New York","USA","North America",40.733166,-73.993515,"Vegetarian","3"
"Junoon",2019,"New York","USA","North America",40.74325,-73.99077,"Indian","4"
"NoMad",2019,"New York","USA","North America",40.74497,-73.98883,"Contemporary","4"
"The Musket Room",2019,"New York","USA","North America",40.723915,-73.99375,"Contemporary","3"
"Uncle Boons",2019,"New York","USA","North America",40.721203,-73.99441,"Thai","2"
"Noda",2019,"New York","USA","North America",40.74497,-73.988075,"Japanese","4"
"Gramercy Tavern",2019,"New York","USA","North America",40.73849,-73.98868,"Contemporary","4"
"The Clocktower",2019,"New York","USA","North America",40.7414,-73.987595,"Contemporary","3"
"Ai Fiori",2019,"New York","USA","North America",40.75013,-73.98357,"Italian","4"
"Casa Mono",2019,"New York","USA","North America",40.73595,-73.98706,"Spanish","3"
"Jewel Bako",2019,"New York","USA","North America",40.72713,-73.98928,"Japanese","3"
"The River Café",2019,"New York","USA","North America",40.703613,-73.994774,"Contemporary","4"
"Bar Uchū",2019,"New York","USA","North America",40.72191,-73.99003,"Japanese","4"
"Café China",2019,"New York","USA","North America",40.749973,-73.98228,"Chinese","2"
"Kanoyama",2019,"New York","USA","North America",40.73071,-73.98655,"Japanese","3"
"Contra",2019,"New York","USA","North America",40.719917,-73.98922,"Contemporary","4"
"Atomix",2019,"New York","USA","North America",40.744408,-73.98292,"Korean","4"
"Kyo Ya",2019,"New York","USA","North America",40.7266,-73.98526,"Japanese","3"
"Kajitsu",2019,"New York","USA","North America",40.72776,-73.98428,"Japanese","3"
"Agern",2019,"New York","USA","North America",40.75234,-73.9775,"Scandinavian","4"
"Caviar Russe",2019,"New York","USA","North America",40.760685,-73.97355,"Contemporary","4"
"Tuome",2019,"New York","USA","North America",40.724194,-73.9828,"Fusion","2"
"Tempura Matsui",2019,"New York","USA","North America",40.74839,-73.97474,"Japanese","4"
"Sushi Yasuda",2019,"New York","USA","North America",40.75108,-73.97364,"Japanese","4"
"Sushi Amane",2019,"New York","USA","North America",40.75133,-73.971725,"Japanese","4"
"Café Boulud",2019,"New York","USA","North America",40.77439,-73.96414,"French","4"
"Claro",2019,"New York","USA","North America",40.677395,-73.98615,"Mexican","2"
"Satsuki",2019,"New York","USA","North America",40.801243,-73.95187,"Japanese","4"
"Sushi Noz",2019,"New York","USA","North America",40.77384,-73.958275,"Japanese","4"
"Sushi Inoue",2019,"New York","USA","North America",40.810448,-73.943726,"Japanese","4"
"Meadowsweet",2019,"New York","USA","North America",40.710354,-73.96317,"Mediterranean","3"
"Casa Enríque",2019,"New York","USA","North America",40.743492,-73.95425,"Mexican","2"
"Peter Luger",2019,"New York","USA","North America",40.70986,-73.96263,"Steakhouse","4"
"Oxomoco",2019,"New York","USA","North America",40.730057,-73.95538,"Mexican","3"
"The Finch",2019,"New York","USA","North America",40.68704,-73.96297,"American","3"
"Faro",2019,"New York","USA","North America",40.707584,-73.923035,"American","2"
"Senses",2019,"Warszawa","Poland","Europe",52.244583,21.005886,"Modern cuisine","5"
"atelier Amaro",2019,"Warszawa","Poland","Europe",52.21708,21.03768,"Modern cuisine","4"
"Aniar",2019,"Gaillimh/Galway","Ireland","Europe",53.27112,-9.057078,"Creative",NA
"Loam",2019,"Gaillimh/Galway","Ireland","Europe",53.27384,-9.044447,"Creative",NA
"Wild Honey Inn",2019,"Lios Dúin Bhearna/Lisdoonvarna","Ireland","Europe",53.03151,-9.2911,"Classic cuisine",NA
"Chestnut",2019,"Ballydehob","Ireland","Europe",51.562588,-9.460854,"Modern cuisine",NA
"Mews",2019,"Baltimore","Ireland","Europe",51.48285,-9.37234,"Modern cuisine",NA
"Ichigo Ichie",2019,"Corcaigh/Cork","Ireland","Europe",51.898167,-8.479933,"Japanese",NA
"Chapter One",2019,"City Centre","Ireland","Europe",53.354374,-6.263786,"Modern cuisine",NA
"Greenhouse",2019,"City Centre","Ireland","Europe",53.340042,-6.258506,"Modern cuisine",NA
"L'Ecrivain",2019,"City Centre","Ireland","Europe",53.33627,-6.24834,"Modern cuisine",NA
"Campagne",2019,"Cill Chainnigh/Kilkenny","Ireland","Europe",52.6559,-7.2464285,"Modern British",NA
"Heron & Grey",2019,"Blackrock","Ireland","Europe",53.30143,-6.177574,"Modern cuisine",NA
"Lady Helen",2019,"Baile Mhic Andáin/Thomastown","Ireland","Europe",52.526096,-7.188277,"Modern cuisine",NA
"House",2019,"Aird Mhór/Ardmore","Ireland","Europe",51.94777,-7.7135396,"Modern cuisine",NA
"Olympe",2019,"Rio de Janeiro - 22470","Brazil","South America",-22.96109,-43.20658,"French","5"
"Lasai",2019,"Rio de Janeiro - 22271","Brazil","South America",-22.95401,-43.19557,"modern","5"
"Oteque",2019,"Rio de Janeiro - 22271","Brazil","South America",-22.95747,-43.194424,"modern","5"
"Mee",2019,"Rio de Janeiro - 22021","Brazil","South America",-22.96764,-43.17925,"Asian influences","5"
"Cipriani",2019,"Rio de Janeiro - 22021","Brazil","South America",-22.96755,-43.17901,"Italian","5"
"Jun Sakamoto",2019,"São Paulo - 05413","Brazil","South America",-23.56318,-46.67737,"Japanese","5"
"Maní",2019,"São Paulo - 05415","Brazil","South America",-23.56621,-46.67974,"creative","5"
"Evvai",2019,"São Paulo - 05415","Brazil","South America",-23.567078,-46.679146,"modern","5"
"Picchi",2019,"São Paulo - 01426","Brazil","South America",-23.565063,-46.666767,"Italian","5"
"Kosushi",2019,"São Paulo - 04538","Brazil","South America",-23.58522,-46.6809,"Japanese","3"
"Ryo Gastronomia",2019,"São Paulo - 04531","Brazil","South America",-23.58132,-46.6767,"Japanese","5"
"Tangará Jean-Georges",2019,"São Paulo - 05706","Brazil","South America",-23.634005,-46.72428,"modern","5"
"Kinoshita",2019,"São Paulo - 04509","Brazil","South America",-23.59159,-46.67146,"Japanese","5"
"Kan Suke",2019,"São Paulo - 01401","Brazil","South America",-23.5684,-46.64936,"Japanese","5"
"Huto",2019,"São Paulo - 04080","Brazil","South America",-23.60882,-46.6598,"Japanese","5"
"Stay",2019,"Seoul","South Korea","Asia",37.513004,127.10257,"French contemporary","3"
"Lee Jong Kuk 104",2019,"Seoul","South Korea","Asia",37.592903,126.997284,"Korean","4"
"Hansikgonggan",2019,"Seoul","South Korea","Asia",37.577705,126.98852,"Korean","3"
"Dining in Space",2019,"Seoul","South Korea","Asia",37.57761,126.98845,"French contemporary","3"
"Exquisine",2019,"Seoul","South Korea","Asia",37.521046,127.049736,"Innovative","3"
"Dosa",2019,"Seoul","South Korea","Asia",37.52445,127.04441,"Innovative","3"
"Joo Ok",2019,"Seoul","South Korea","Asia",37.52252,127.04396,"Korean contemporary","3"
"Balwoo Gongyang",2019,"Seoul","South Korea","Asia",37.57389,126.98318,"Temple cuisine","2"
"Muoki",2019,"Seoul","South Korea","Asia",37.518963,127.04217,"Innovative","3"
"L'Amitié",2019,"Seoul","South Korea","Asia",37.522675,127.032646,"French","3"
"Yu Yuan",2019,"Seoul","South Korea","Asia",37.57045,126.97534,"Chinese","3"
"Bicena",2019,"Seoul","South Korea","Asia",37.5384,127.00135,"Korean","3"
"Mosu",2019,"Seoul","South Korea","Asia",37.536415,126.99934,"Innovative","5"
"Poom",2019,"Seoul","South Korea","Asia",37.54903,126.98341,"Korean","3"
"Soigné",2019,"Seoul","South Korea","Asia",37.49816,127.002,"Innovative","3"
"Table for Four",2019,"Seoul","South Korea","Asia",37.49769,126.99442,"European contemporary","3"
"Zero Complex",2019,"Seoul","South Korea","Asia",37.49417,126.9948,"Innovative","3"
"Jin Jin",2019,"Seoul","South Korea","Asia",37.55777,126.91324,"Chinese","1"
"Gotgan",2019,"Seoul","South Korea","Asia",37.52212,126.92022,"Korean","4"
"Hill Street Tai Hwa Pork Noodle",2018,"Singapore","Singapore","Asia",1.3052,103.8624,"Street Food","1"
