"name","year","city","country","continent","latitude","longitude","cuisine","price","star"
"Luce",2019,"San Francisco","USA","North America",37.78194,-122.40498,"Contemporary","3","one"
"Birdsong",2019,"San Francisco","USA","North America",37.779495,-122.41048,"American","4","one"
"In Situ",2019,"San Francisco","USA","North America",37.785633,-122.40113,"International","4","one"
"Mourad",2019,"San Francisco","USA","North America",37.78695,-122.39987,"Moroccan","3","one"
"Hashiri",2019,"San Francisco","USA","North America",37.783062,-122.40754,"Japanese","4","one"
"Angler",2019,"San Francisco","USA","North America",37.793167,-122.39213,"Contemporary","4","one"
"Rich Table",2019,"San Francisco","USA","North America",37.774914,-122.42271,"Contemporary","3","one"
"Kin Khao",2019,"San Francisco","USA","North America",37.785267,-122.40951,"Thai","2","one"
"Michael Mina",2019,"San Francisco","USA","North America",37.79349,-122.399574,"Contemporary","4","one"
"Sons & Daughters",2019,"San Francisco","USA","North America",37.79037,-122.40917,"Contemporary","4","one"
"Mister Jiu's",2019,"San Francisco","USA","North America",37.79371,-122.406654,"Chinese","3","one"
"Nico",2019,"San Francisco","USA","North America",37.795803,-122.40333,"Contemporary","3","one"
"jū-ni",2019,"San Francisco","USA","North America",37.77672,-122.43886,"Japanese","4","one"
"Keiko à Nob Hill",2019,"San Francisco","USA","North America",37.793106,-122.41445,"Fusion","4","one"
"The Progress",2019,"San Francisco","USA","North America",37.78371,-122.43282,"Californian","3","one"
"State Bird Provisions",2019,"San Francisco","USA","North America",37.783737,-122.43283,"American","2","one"
"Octavia",2019,"San Francisco","USA","North America",37.787857,-122.42709,"Californian","3","one"
"SPQR",2019,"San Francisco","USA","North America",37.78732,-122.43375,"Italian","3","one"
"Lord Stanley",2019,"San Francisco","USA","North America",37.79592,-122.42208,"Californian","3","one"
"Kinjo",2019,"San Francisco","USA","North America",37.79699,-122.422005,"Japanese","4","one"
"Sorrel",2019,"San Francisco","USA","North America",37.788334,-122.44614,"Californian","3","one"
"Gary Danko",2019,"San Francisco","USA","North America",37.80599,-122.42066,"Contemporary","4","one"
"Bar Crenn",2019,"San Francisco","USA","North America",37.798435,-122.43581,"French","3","one"
"Spruce",2019,"San Francisco","USA","North America",37.78772,-122.45264,"Californian","3","one"
"Wako",2019,"San Francisco","USA","North America",37.783035,-122.461525,"Japanese","4","one"
"Madcap",2019,"San Francisco","USA","North America",37.974712,-122.56168,"Contemporary","4","one"
"Aubergine",2019,"Monterey","USA","North America",36.55406,-121.924355,"Contemporary","4","one"
"Kenzo",2019,"San Francisco","USA","North America",38.29924,-122.28928,"Japanese","4","one"
"La Toque",2019,"San Francisco","USA","North America",38.30351,-122.28349,"Contemporary","4","one"
"Bouchon",2019,"San Francisco","USA","North America",38.40258,-122.3619,"French","3","one"
"Auberge du Soleil",2019,"San Francisco","USA","North America",38.49199,-122.40534,"Californian","4","one"
"Farmhouse Inn & Restaurant",2019,"San Francisco","USA","North America",38.49039,-122.8835,"Californian","4","one"
"The Kitchen",2019,"Sacramento","USA","North America",38.58894,-121.41424,"Contemporary","4","one"
"Madrona Manor",2019,"San Francisco","USA","North America",38.60428,-122.88647,"Contemporary","4","one"
"Harbor House",2019,"San Francisco","USA","North America",39.135876,-123.719444,"Californian","4","one"
"Shin Sushi",2019,"Los Angeles","USA","North America",34.15784,-118.49415,"Japanese","3","one"
"Rustic Canyon",2019,"Los Angeles","USA","North America",34.024952,-118.49118,"Californian","3","one"
"Dialogue",2019,"Los Angeles","USA","North America",34.01679,-118.49748,"Contemporary","4","one"
"Kato",2019,"Los Angeles","USA","North America",34.041683,-118.460915,"Asian","3","one"
"CUT",2019,"Los Angeles","USA","North America",34.067036,-118.401024,"Steakhouse","4","one"
"Nozawa Bar",2019,"Los Angeles","USA","North America",34.0683,-118.39849,"Japanese","4","one"
"Shunji",2019,"Los Angeles","USA","North America",34.028496,-118.45195,"Japanese","4","one"
"Maude",2019,"Los Angeles","USA","North America",34.064346,-118.39904,"Contemporary","4","one"
"Mori Sushi",2019,"Los Angeles","USA","North America",34.033398,-118.44229,"Japanese","4","one"
"Trois Mec",2019,"Los Angeles","USA","North America",34.084255,-118.33851,"Contemporary","4","one"
"Osteria Mozza",2019,"Los Angeles","USA","North America",34.08342,-118.338974,"Italian","3","one"
"Kali",2019,"Los Angeles","USA","North America",34.083443,-118.32455,"Californian","3","one"
"Le Comptoir",2019,"Los Angeles","USA","North America",34.06354,-118.30057,"Californian","4","one"
"Q Sushi",2019,"Los Angeles","USA","North America",34.046883,-118.255844,"Japanese","4","one"
"Shibumi",2019,"Los Angeles","USA","North America",34.044155,-118.256134,"Japanese","4","one"
"Hayato",2019,"Los Angeles","USA","North America",34.03311,-118.24265,"Japanese","4","one"
"Bistro Na's",2019,"Los Angeles","USA","North America",34.104412,-118.07159,"Chinese","2","one"
"Orsa & Winston",2019,"Los Angeles","USA","North America",33.92145,-118.275406,"Fusion","4","one"
"Taco María",2019,"Costa Mesa","USA","North America",33.69475,-117.924965,"Mexican","3","one"
"Hana re",2019,"Costa Mesa","USA","North America",33.67759,-117.886566,"Japanese","4","one"
"Addison",2019,"San Diego","USA","North America",32.939903,-117.20013,"Contemporary","4","one"
"Parachute",2019,"Chicago","USA","North America",41.94483,-87.70638,"Fusion","2","one"
"Goosefoot",2019,"Chicago","USA","North America",41.96856,-87.69596,"Contemporary","4","one"
"Elizabeth",2019,"Chicago","USA","North America",41.969555,-87.688736,"Contemporary","4","one"
"EL Ideas",2019,"Chicago","USA","North America",41.863,-87.68686,"Contemporary","4","one"
"Band of Bohemia",2019,"Chicago","USA","North America",41.967308,-87.67477,"Gastropub","3","one"
"Schwa",2019,"Chicago","USA","North America",41.90888,-87.66792,"Contemporary","4","one"
"Temporis",2019,"Chicago","USA","North America",41.898907,-87.66725,"Contemporary","4","one"
"Entente",2019,"Chicago","USA","North America",41.93721,-87.6652,"Contemporary","3","one"
"Elske",2019,"Chicago","USA","North America",41.884426,-87.66071,"Contemporary","4","one"
"Dusek's (Board & Beer)",2019,"Chicago","USA","North America",41.857853,-87.65757,"Gastropub","2","one"
"Roister",2019,"Chicago","USA","North America",41.886658,-87.65187,"Contemporary","3","one"
"Boka",2019,"Chicago","USA","North America",41.91363,-87.64806,"Contemporary","3","one"
"Blackbird",2019,"Chicago","USA","North America",41.88423,-87.64356,"Contemporary","3","one"
"Sepia",2019,"Chicago","USA","North America",41.88394,-87.64247,"American","3","one"
"North Pond",2019,"Chicago","USA","North America",41.9296,-87.63762,"Contemporary","3","one"
"Everest",2019,"Chicago","USA","North America",41.87597,-87.63212,"French","4","one"
"Topolobampo",2019,"Chicago","USA","North America",41.89047,-87.63085,"Mexican","4","one"
"Spiaggia",2019,"Chicago","USA","North America",41.90062,-87.62457,"Italian","4","one"
"Monte",2019,"Rovinj","Croatia","Europe",45.08279,13.631168,"Creative","5","one"
"Draga di Lovrana",2019,"Lovran","Croatia","Europe",45.275867,14.251401,"Modern cuisine","5","one"
"Noel",2019,"Zagreb","Croatia","Europe",45.811054,15.988205,"Modern cuisine","5","one"
"Pelegrini",2019,"Šibenik","Croatia","Europe",43.73603,15.888903,"Modern cuisine","5","one"
"360º",2019,"Dubrovnik","Croatia","Europe",42.641563,18.111523,"Modern cuisine","5","one"
"Field",2019,"Praha","Czech Republic","Europe",50.0919,14.42193,"Modern cuisine","5","one"
"La Degustation Bohême Bourgeoise",2019,"Praha","Czech Republic","Europe",50.09115,14.42511,"Modern cuisine","5","one"
"Gastromé",2019,"Aarhus","Denmark","Europe",56.15788,10.20937,"Modern cuisine","3","one"
"Domestic",2019,"Aarhus","Denmark","Europe",56.15893,10.212132,"Modern cuisine","3","one"
"Substans",2019,"Aarhus","Denmark","Europe",56.15415,10.20372,"Modern cuisine","3","one"
"Frederikshøj",2019,"Aarhus","Denmark","Europe",56.12497,10.208638,"Creative","4","one"
"Me‚Mu",2019,"Vejle","Denmark","Europe",55.70901,9.53302,"Modern cuisine","3","one"
"Ti Trin Ned",2019,"Fredericia","Denmark","Europe",55.56659,9.752689,"Modern cuisine","3","one"
"Slotskøkkenet",2019,"Hørve","Denmark","Europe",55.771236,11.390805,"Creative","4","one"
"Søllerød Kro",2019,"København","Denmark","Europe",55.81325,12.49548,"Modern cuisine","2","one"
"Jordnær",2019,"København","Denmark","Europe",55.748226,12.541014,"Danish","3","one"
"Relæ",2019,"København","Denmark","Europe",55.693233,12.543222,"Modern cuisine","2","one"
"Kiin Kiin",2019,"København","Denmark","Europe",55.69188,12.55754,"Thai","2","one"
"formel B",2019,"København","Denmark","Europe",55.67031,12.53798,"Modern cuisine","2","one"
"Kokkeriet",2019,"København","Denmark","Europe",55.68768,12.58492,"Modern cuisine","3","one"
"Clou",2019,"København","Denmark","Europe",55.68342,12.58497,"Modern cuisine","4","one"
"Marchal",2019,"København","Denmark","Europe",55.68034,12.58508,"Modern cuisine","2","one"
"Kong Hans Kælder",2019,"København","Denmark","Europe",55.6787,12.584003,"Classic French","4","one"
"Stud!o at The Standard",2019,"København","Denmark","Europe",55.67799,12.59191,"Creative","3","one"
"108",2019,"København","Denmark","Europe",55.67785,12.5980835,"Modern cuisine","3","one"
"Era Ora",2019,"København","Denmark","Europe",55.673004,12.591292,"Italian","2","one"
"Alouette",2019,"København","Denmark","Europe",55.66265,12.57634,"Modern cuisine","3","one"
"Frederiksminde",2019,"Præstø","Denmark","Europe",55.12417,12.04623,"Creative","3","one"
"Kadeau Bornholm",2019,"Pedersker","Denmark","Europe",55.00457,14.969216,"Creative","4","one"
"Ask",2019,"Helsingfors / Helsinki","Finland","Europe",60.17236,24.95648,"Modern cuisine","3","one"
"Grön",2019,"Helsingfors / Helsinki","Finland","Europe",60.16446,24.93308,"Finnish","3","one"
"Demo",2019,"Helsingfors / Helsinki","Finland","Europe",60.164806,24.941635,"Modern cuisine","3","one"
"Olo",2019,"Helsingfors / Helsinki","Finland","Europe",60.16616,24.947704,"Modern cuisine","3","one"
"Palace",2019,"Helsingfors / Helsinki","Finland","Europe",60.16556,24.95256,"Modern cuisine","3","one"
"Ora",2019,"Helsingfors / Helsinki","Finland","Europe",60.157578,24.942947,"Modern cuisine","3","one"
"Botrini's",2019,"Athína","Greece","Europe",38.02318,23.79377,"Mediterranean","5","one"
"Varoulko Seaside",2019,"Athína","Greece","Europe",37.937378,23.658577,"Seafood","5","one"
"Hytra",2019,"Athína","Greece","Europe",37.95818,23.71895,"Modern cuisine","5","one"
"Loaf On",2019,"Hong Kong","China","Asia",22.379858,114.27188,"Cantonese","2","one"
"Lei Garden (Kwun Tong)",2019,"Hong Kong","China","Asia",22.312672,114.22482,"Cantonese","1","one"
"Tim Ho Wan (Sham Shui Po)",2019,"Hong Kong","China","Asia",22.32805,114.16665,"Dim Sum","1","one"
"Lei Garden (Mong Kok)",2019,"Hong Kong","China","Asia",22.320219,114.17133,"Cantonese","1","one"
"Ming Court",2019,"Hong Kong","China","Asia",22.318314,114.16933,"Cantonese","3","one"
"Yat Tung Heen (Jordan)",2019,"Hong Kong","China","Asia",22.308014,114.17147,"Cantonese","2","one"
"Fu Ho (Tsim Sha Tsui)",2019,"Hong Kong","China","Asia",22.3022,114.17194,"Cantonese","2","one"
"Shang Palace",2019,"Hong Kong","China","Asia",22.297325,114.177155,"Cantonese","3","one"
"IM Teppanyaki & Wine",2019,"Hong Kong","China","Asia",22.280807,114.19211,"Teppanyaki","2","one"
"Ah Yat Harbour View (Tsim Sha Tsui)",2019,"Hong Kong","China","Asia",22.296984,114.17197,"Cantonese","2","one"
"Rech",2019,"Hong Kong","China","Asia",22.293434,114.174034,"Seafood","4","one"
"Spring Moon",2019,"Hong Kong","China","Asia",22.294943,114.17182,"Cantonese","3","one"
"Imperial Treasure Fine Chinese Cuisine",2019,"Hong Kong","China","Asia",22.296177,114.170006,"Cantonese","2","one"
"Sushi Tokami",2019,"Hong Kong","China","Asia",22.296112,114.16916,"Sushi","5","one"
"Tosca",2019,"Hong Kong","China","Asia",22.30357,114.16007,"Italian","3","one"
"Épure",2019,NA,NA,NA,22.29583,114.169304,"French","3","one"
"Yee Tung Heen",2019,"Hong Kong","China","Asia",22.282295,114.184135,"Cantonese","2","one"
"Yè Shanghai (Tsim Sha Tsui)",2019,"Hong Kong","China","Asia",22.295143,114.168236,"Shanghainese","1","one"
"Ho Hung Kee",2019,"Hong Kong","China","Asia",22.280058,114.18364,"Noodles and congee","1","one"
"Jardin de Jade (Wan Chai)",2019,"Hong Kong","China","Asia",22.28025,114.17716,"Shanghainese","2","one"
"Zhejiang Heen",2019,"Hong Kong","China","Asia",22.2787,114.17763,"Shanghainese","2","one"
"Takumi by Daisuke Mori",2019,"Hong Kong","China","Asia",22.276512,114.17718,"Innovative","5","one"
"Kam's Roast Goose",2019,"Hong Kong","China","Asia",22.277693,114.175385,"Cantonese Roast Meats","1","one"
"Pang's Kitchen",2019,"Hong Kong","China","Asia",22.26921,114.18452,"Cantonese","1","one"
"Xin Rong Ji",2019,"Hong Kong","China","Asia",22.278013,114.17273,"Taizhou","3","one"
"Qi (Wan Chai)",2019,"Hong Kong","China","Asia",22.276443,114.17126,"Sichuan","1","one"
"Man Wah",2019,"Hong Kong","China","Asia",22.282213,114.15951,"Cantonese","4","one"
"Summer Palace",2019,"Hong Kong","China","Asia",22.277136,114.1643,"Cantonese","3","one"
"Octavium",2019,"Hong Kong","China","Asia",22.282587,114.1572,"Italian","3","one"
"Arbor",2019,NA,NA,NA,22.283146,114.15542,"Innovative","3","one"
"VEA",2019,"Hong Kong","China","Asia",22.284931,114.15313,"Innovative","5","one"
"Mandarin Grill + Bar",2019,"Hong Kong","China","Asia",22.281048,114.1574,"European contemporary","4","one"
"Yat Lok",2019,"Hong Kong","China","Asia",22.28226,114.155655,"Cantonese Roast Meats","1","one"
"Guo Fu Lou",2019,"Hong Kong","China","Asia",22.278313,114.16034,"Cantonese","3","one"
"Celebrity Cuisine",2019,"Hong Kong","China","Asia",22.284334,114.15312,"Cantonese","2","one"
"Sushi Wadatsumi",2019,"Hong Kong","China","Asia",22.281038,114.15646,"Sushi","3","one"
"Arcane",2019,"Hong Kong","China","Asia",22.280624,114.15682,"European contemporary","3","one"
"Duddell's",2019,"Hong Kong","China","Asia",22.28008,114.157364,"Cantonese","3","one"
"Beefbar",2019,"Hong Kong","China","Asia",22.27982,114.15752,"Steakhouse","2","one"
"New Punjab Club",2019,"Hong Kong","China","Asia",22.28005,114.15525,"Indian","2","one"
"Kaiseki Den by Saotome",2019,"Hong Kong","China","Asia",22.285713,114.147865,"Japanese","5","one"
"Belon",2019,"Hong Kong","China","Asia",22.281662,114.152405,"French","3","one"
"Tate",2019,"Hong Kong","China","Asia",22.280996,114.15276,"Innovative","5","one"
"The Ocean",2019,"Hong Kong","China","Asia",22.235146,114.198524,"French","5","one"
"Costes Downtown",2019,"Budapest","Hungary","Europe",47.50113,19.048595,"Modern cuisine","4","one"
"Borkonyha Winekitchen",2019,"Budapest","Hungary","Europe",47.49953,19.052391,"Modern cuisine","4","one"
"Stand",2019,"Budapest","Hungary","Europe",47.500244,19.059624,"Modern cuisine","3","one"
"Babel",2019,"Budapest","Hungary","Europe",47.492603,19.05256,"Modern cuisine","5","one"
"Costes",2019,"Budapest","Hungary","Europe",47.48873,19.061779,"Modern cuisine","5","one"
"The Kitchen",2019,"Macau","China","Asia",22.191442,113.543,"Steakhouse","3","one"
"Tim's Kitchen",2019,"Macau","China","Asia",22.189898,113.5439,"Cantonese","2","one"
"Wing Lei",2019,"Macau","China","Asia",22.188028,113.54578,"Cantonese","2","one"
"King",2019,"Macau","China","Asia",22.190178,113.54028,"Cantonese","1","one"
"Ying",2019,"Macau","China","Asia",22.161234,113.555405,"Cantonese","2","one"
"Shinji by Kanesaka",2019,"Macau","China","Asia",22.149635,113.56397,"Sushi","4","one"
"The Golden Peacock",2019,"Macau","China","Asia",22.148178,113.56335,"Indian","1","one"
"Zi Yat Heen",2019,"Macau","China","Asia",22.145418,113.56152,"Cantonese","2","one"
"8 1/2 Otto e Mezzo - Bombana",2019,"Macau","China","Asia",22.14918,113.55393,"Italian","3","one"
"Pearl Dragon",2019,"Macau","China","Asia",22.140524,113.56256,"Cantonese","3","one"
"Lai Heen",2019,"Macau","China","Asia",22.148754,113.551926,"Cantonese","2","one"
"FAGN",2019,"Trondheim","Norway","Europe",63.43392,10.39628,"Modern cuisine","4","one"
"Credo",2019,"Trondheim","Norway","Europe",63.43391,10.39631,"Creative","4","one"
"RE-NAA",2019,"Stavanger","Norway","Europe",58.972088,5.732877,"Creative","4","one"
"Sabi Omakase",2019,"Stavanger","Norway","Europe",58.969936,5.7433133,"Sushi","4","one"
"Galt",2019,"Oslo","Norway","Europe",59.91661,10.71369,"Modern cuisine","3","one"
"Kontrast",2019,"Oslo","Norway","Europe",59.92355,10.75106,"Scandinavian","3","one"
"Statholdergaarden",2019,"Oslo","Norway","Europe",59.90937,10.74305,"Classic cuisine","4","one"
"Del Posto",2019,"New York","USA","North America",40.74327,-74.0077,"Italian","4","one"
"Le Grill de Joël Robuchon",2019,"New York","USA","North America",40.742897,-74.0077,"French","4","one"
"L'Appart",2019,"New York","USA","North America",40.711903,-74.01544,"French","4","one"
"Okuda",2019,"New York","USA","North America",40.743793,-74.00633,"Japanese","4","one"
"Wallsé",2019,"New York","USA","North America",40.73538,-74.00814,"Austrian","4","one"
"Jeju Noodle Bar",2019,"New York","USA","North America",40.732952,-74.00744,"Korean","2","one"
"Sushi Nakazawa",2019,"New York","USA","North America",40.731716,-74.00451,"Japanese","4","one"
"Kosaka",2019,"New York","USA","North America",40.738316,-74.00137,"Japanese","4","one"
"Bâtard",2019,"New York","USA","North America",40.719616,-74.00589,"Contemporary","4","one"
"Hirohisa",2019,"New York","USA","North America",40.72452,-74.003006,"Japanese","3","one"
"Blue Hill",2019,"New York","USA","North America",40.7321,-73.9996,"American","4","one"
"ZZ's Clam Bar",2019,"New York","USA","North America",40.727646,-74.00046,"Seafood","4","one"
"Babbo",2019,"New York","USA","North America",40.73233,-73.99916,"Italian","4","one"
"Carbone",2019,"New York","USA","North America",40.727966,-74.00017,"Italian","4","one"
"Le Coucou",2019,"New York","USA","North America",40.719162,-74.00001,"French","3","one"
"Aldea",2019,"New York","USA","North America",40.73885,-73.99366,"Mediterranean","4","one"
"Cote",2019,"New York","USA","North America",40.73778,-73.99375,"Korean","3","one"
"Bouley at Home",2019,"New York","USA","North America",40.74114,-73.99242,"Contemporary","3","one"
"Gotham Bar and Grill",2019,"New York","USA","North America",40.73417,-73.99379,"American","4","one"
"Nix",2019,"New York","USA","North America",40.733166,-73.993515,"Vegetarian","3","one"
"Junoon",2019,"New York","USA","North America",40.74325,-73.99077,"Indian","4","one"
"NoMad",2019,"New York","USA","North America",40.74497,-73.98883,"Contemporary","4","one"
"The Musket Room",2019,"New York","USA","North America",40.723915,-73.99375,"Contemporary","3","one"
"Uncle Boons",2019,"New York","USA","North America",40.721203,-73.99441,"Thai","2","one"
"Noda",2019,"New York","USA","North America",40.74497,-73.988075,"Japanese","4","one"
"Gramercy Tavern",2019,"New York","USA","North America",40.73849,-73.98868,"Contemporary","4","one"
"The Clocktower",2019,"New York","USA","North America",40.7414,-73.987595,"Contemporary","3","one"
"Ai Fiori",2019,"New York","USA","North America",40.75013,-73.98357,"Italian","4","one"
"Casa Mono",2019,"New York","USA","North America",40.73595,-73.98706,"Spanish","3","one"
"Jewel Bako",2019,"New York","USA","North America",40.72713,-73.98928,"Japanese","3","one"
"The River Café",2019,"New York","USA","North America",40.703613,-73.994774,"Contemporary","4","one"
"Bar Uchū",2019,"New York","USA","North America",40.72191,-73.99003,"Japanese","4","one"
"Café China",2019,"New York","USA","North America",40.749973,-73.98228,"Chinese","2","one"
"Kanoyama",2019,"New York","USA","North America",40.73071,-73.98655,"Japanese","3","one"
"Contra",2019,"New York","USA","North America",40.719917,-73.98922,"Contemporary","4","one"
"Atomix",2019,"New York","USA","North America",40.744408,-73.98292,"Korean","4","one"
"Kyo Ya",2019,"New York","USA","North America",40.7266,-73.98526,"Japanese","3","one"
"Kajitsu",2019,"New York","USA","North America",40.72776,-73.98428,"Japanese","3","one"
"Agern",2019,"New York","USA","North America",40.75234,-73.9775,"Scandinavian","4","one"
"Caviar Russe",2019,"New York","USA","North America",40.760685,-73.97355,"Contemporary","4","one"
"Tuome",2019,"New York","USA","North America",40.724194,-73.9828,"Fusion","2","one"
"Tempura Matsui",2019,"New York","USA","North America",40.74839,-73.97474,"Japanese","4","one"
"Sushi Yasuda",2019,"New York","USA","North America",40.75108,-73.97364,"Japanese","4","one"
"Sushi Amane",2019,"New York","USA","North America",40.75133,-73.971725,"Japanese","4","one"
"Café Boulud",2019,"New York","USA","North America",40.77439,-73.96414,"French","4","one"
"Claro",2019,"New York","USA","North America",40.677395,-73.98615,"Mexican","2","one"
"Satsuki",2019,"New York","USA","North America",40.801243,-73.95187,"Japanese","4","one"
"Sushi Noz",2019,"New York","USA","North America",40.77384,-73.958275,"Japanese","4","one"
"Sushi Inoue",2019,"New York","USA","North America",40.810448,-73.943726,"Japanese","4","one"
"Meadowsweet",2019,"New York","USA","North America",40.710354,-73.96317,"Mediterranean","3","one"
"Casa Enríque",2019,"New York","USA","North America",40.743492,-73.95425,"Mexican","2","one"
"Peter Luger",2019,"New York","USA","North America",40.70986,-73.96263,"Steakhouse","4","one"
"Oxomoco",2019,"New York","USA","North America",40.730057,-73.95538,"Mexican","3","one"
"The Finch",2019,"New York","USA","North America",40.68704,-73.96297,"American","3","one"
"Faro",2019,"New York","USA","North America",40.707584,-73.923035,"American","2","one"
"Senses",2019,"Warszawa","Poland","Europe",52.244583,21.005886,"Modern cuisine","5","one"
"atelier Amaro",2019,"Warszawa","Poland","Europe",52.21708,21.03768,"Modern cuisine","4","one"
"Aniar",2019,"Gaillimh/Galway","Ireland","Europe",53.27112,-9.057078,"Creative",NA,"one"
"Loam",2019,"Gaillimh/Galway","Ireland","Europe",53.27384,-9.044447,"Creative",NA,"one"
"Wild Honey Inn",2019,"Lios Dúin Bhearna/Lisdoonvarna","Ireland","Europe",53.03151,-9.2911,"Classic cuisine",NA,"one"
"Chestnut",2019,"Ballydehob","Ireland","Europe",51.562588,-9.460854,"Modern cuisine",NA,"one"
"Mews",2019,"Baltimore","Ireland","Europe",51.48285,-9.37234,"Modern cuisine",NA,"one"
"Ichigo Ichie",2019,"Corcaigh/Cork","Ireland","Europe",51.898167,-8.479933,"Japanese",NA,"one"
"Chapter One",2019,"City Centre","Ireland","Europe",53.354374,-6.263786,"Modern cuisine",NA,"one"
"Greenhouse",2019,"City Centre","Ireland","Europe",53.340042,-6.258506,"Modern cuisine",NA,"one"
"L'Ecrivain",2019,"City Centre","Ireland","Europe",53.33627,-6.24834,"Modern cuisine",NA,"one"
"Campagne",2019,"Cill Chainnigh/Kilkenny","Ireland","Europe",52.6559,-7.2464285,"Modern British",NA,"one"
"Heron & Grey",2019,"Blackrock","Ireland","Europe",53.30143,-6.177574,"Modern cuisine",NA,"one"
"Lady Helen",2019,"Baile Mhic Andáin/Thomastown","Ireland","Europe",52.526096,-7.188277,"Modern cuisine",NA,"one"
"House",2019,"Aird Mhór/Ardmore","Ireland","Europe",51.94777,-7.7135396,"Modern cuisine",NA,"one"
"Olympe",2019,"Rio de Janeiro - 22470","Brazil","South America",-22.96109,-43.20658,"French","5","one"
"Lasai",2019,"Rio de Janeiro - 22271","Brazil","South America",-22.95401,-43.19557,"modern","5","one"
"Oteque",2019,"Rio de Janeiro - 22271","Brazil","South America",-22.95747,-43.194424,"modern","5","one"
"Mee",2019,"Rio de Janeiro - 22021","Brazil","South America",-22.96764,-43.17925,"Asian influences","5","one"
"Cipriani",2019,"Rio de Janeiro - 22021","Brazil","South America",-22.96755,-43.17901,"Italian","5","one"
"Jun Sakamoto",2019,"São Paulo - 05413","Brazil","South America",-23.56318,-46.67737,"Japanese","5","one"
"Maní",2019,"São Paulo - 05415","Brazil","South America",-23.56621,-46.67974,"creative","5","one"
"Evvai",2019,"São Paulo - 05415","Brazil","South America",-23.567078,-46.679146,"modern","5","one"
"Picchi",2019,"São Paulo - 01426","Brazil","South America",-23.565063,-46.666767,"Italian","5","one"
"Kosushi",2019,"São Paulo - 04538","Brazil","South America",-23.58522,-46.6809,"Japanese","3","one"
"Ryo Gastronomia",2019,"São Paulo - 04531","Brazil","South America",-23.58132,-46.6767,"Japanese","5","one"
"Tangará Jean-Georges",2019,"São Paulo - 05706","Brazil","South America",-23.634005,-46.72428,"modern","5","one"
"Kinoshita",2019,"São Paulo - 04509","Brazil","South America",-23.59159,-46.67146,"Japanese","5","one"
"Kan Suke",2019,"São Paulo - 01401","Brazil","South America",-23.5684,-46.64936,"Japanese","5","one"
"Huto",2019,"São Paulo - 04080","Brazil","South America",-23.60882,-46.6598,"Japanese","5","one"
"Stay",2019,"Seoul","South Korea","Asia",37.513004,127.10257,"French contemporary","3","one"
"Lee Jong Kuk 104",2019,"Seoul","South Korea","Asia",37.592903,126.997284,"Korean","4","one"
"Hansikgonggan",2019,"Seoul","South Korea","Asia",37.577705,126.98852,"Korean","3","one"
"Dining in Space",2019,"Seoul","South Korea","Asia",37.57761,126.98845,"French contemporary","3","one"
"Exquisine",2019,"Seoul","South Korea","Asia",37.521046,127.049736,"Innovative","3","one"
"Dosa",2019,"Seoul","South Korea","Asia",37.52445,127.04441,"Innovative","3","one"
